name,league,rank,prev_rank,off,def,spi
Kalmar FF,Swedish Allsvenskan,393,393,0.8,1.5,29.5
FC Tosno,Russian Premier Liga,394,395,1.0,1.7,29.1
DC United,Major League Soccer,395,390,1.1,1.9,29.0
Excelsior,Dutch Eredivisie,396,396,1.1,1.9,28.7
Barnsley,English League Championship,397,397,1.0,1.8,28.7
New England Revolution,Major League Soccer,398,398,1.0,1.8,28.6
Niort,French Ligue 2,399,399,1.1,1.9,28.5
Ranheim,Norwegian Tippeligaen,400,400,1.2,2.0,28.5
Olimpo,Argentina Primera Division,401,401,0.9,1.6,28.4
Real Salt Lake,Major League Soccer,402,402,1.1,1.9,28.0
Salernitana,Italy Serie B,403,403,0.8,1.6,27.9
Hearts,Scottish Premiership,404,404,0.7,1.5,27.9
US Pescara,Italy Serie B,405,406,0.9,1.6,27.8
Wolfsberger AC,Austrian T-Mobile Bundesliga,406,407,0.9,1.6,27.8
Sochaux,French Ligue 2,407,408,1.0,1.8,27.8
AS Nancy Lorraine,French Ligue 2,408,409,0.8,1.6,27.7
Valerenga,Norwegian Tippeligaen,409,410,1.0,1.9,27.2
Sogndal,Norwegian Tippeligaen,410,411,1.0,1.9,27.2
Virtus Entella,Italy Serie B,411,412,0.6,1.3,27.1
Brescia,Italy Serie B,412,413,0.8,1.6,27.1
Halmstads BK,Swedish Allsvenskan,413,414,0.9,1.7,27.1
Montreal Impact,Major League Soccer,414,405,0.9,1.8,27.0
Cashpoint SC Rheindorf Altach,Austrian T-Mobile Bundesliga,415,416,0.8,1.6,26.9
Burton Albion,English League Championship,416,417,0.9,1.8,26.8
Valenciennes,French Ligue 2,417,418,1.1,2.0,26.8
Bolton,English League Championship,418,419,0.9,1.8,26.6
Ascoli,Italy Serie B,419,420,0.7,1.4,26.6
Novara,Italy Serie B,420,421,0.7,1.5,26.4
Bodo/Glimt,Norwegian Tippeligaen,421,422,0.9,1.7,26.3
Aalesund,Norwegian Tippeligaen,422,423,1.1,2.1,26.3
Avellino,Italy Serie B,423,424,0.8,1.6,26.3
Orléans,French Ligue 2,424,425,1.0,2.0,26.2
FC Twente,Dutch Eredivisie,425,426,1.0,1.9,26.1
Ternana,Italy Serie B,426,427,1.1,2.2,26.0
Jonkopings Sodra IF,Swedish Allsvenskan,427,428,0.8,1.6,25.8
La Hoya Lorca,Spanish Segunda Division,428,429,0.9,1.9,25.7
