name,league,rank,prev_rank,off,def,spi
Hammarby,Swedish Allsvenskan,231,246,1.5,1.6,43.8
Metz,French Ligue 1,232,233,1.3,1.4,43.7
New York Red Bulls,Major League Soccer,233,228,1.4,1.5,43.6
Chaves,Portuguese Liga,234,235,1.4,1.5,43.5
Palermo,Italy Serie B,235,236,1.1,1.2,43.5
New York City FC,Major League Soccer,236,242,1.4,1.5,43.4
Akhisar Belediye,Turkish Turkcell Super Lig,237,237,1.3,1.4,43.4
Portimonense,Portuguese Liga,238,238,1.5,1.6,43.4
Millwall,English League Championship,239,239,1.2,1.3,43.3
Coritiba,Brasileiro Série A,240,240,1.2,1.3,43.2
Arminia Bielefeld,German 2. Bundesliga,241,241,1.3,1.4,43.0
Tijuana,Mexican Primera Division Torneo Apertura,242,234,1.2,1.3,42.8
Vasco da Gama,Brasileiro Série A,243,216,1.2,1.3,42.8
Atlético Tucumán,Argentina Primera Division,244,244,1.1,1.2,42.7
Anzhi Makhachkala,Russian Premier Liga,245,247,1.3,1.4,42.5
Brest,French Ligue 2,246,248,1.2,1.3,42.5
Frosinone,Italy Serie B,247,249,1.1,1.2,42.5
BATE Borisov,UEFA Europa League,248,252,1.3,1.4,42.3
Clermont Foot,French Ligue 2,249,253,1.2,1.3,42.2
Ankaraspor,Turkish Turkcell Super Lig,250,254,1.4,1.5,42.2
SV Darmstadt 98,German 2. Bundesliga,251,255,1.2,1.4,42.2
Pachuca,Mexican Primera Division Torneo Apertura,252,245,1.2,1.4,42.1
Preston North End,English League Championship,253,256,1.1,1.3,42.1
FC Groningen,Dutch Eredivisie,254,257,1.3,1.5,42.0
Sport Recife,Brasileiro Série A,255,243,1.2,1.3,41.9
Sheffield United,English League Championship,256,258,1.2,1.3,41.8
Boavista,Portuguese Liga,257,259,1.0,1.2,41.7
Newell's Old Boys,Argentina Primera Division,258,260,1.0,1.1,41.7
Sivasspor,Turkish Turkcell Super Lig,259,261,1.3,1.5,41.6
SK Brann,Norwegian Tippeligaen,260,262,1.2,1.4,41.6
Necaxa,Mexican Primera Division Torneo Apertura,261,250,1.2,1.4,41.3
NK Maribor,UEFA Champions League,262,263,1.4,1.7,41.2
Real Oviedo,Spanish Segunda Division,263,264,1.1,1.3,41.2
FK Austria Vienna,Austrian T-Mobile Bundesliga,264,265,1.4,1.6,41.1
SV Mattersburg,Austrian T-Mobile Bundesliga,265,266,1.3,1.6,41.0
Belenenses,Portuguese Liga,266,267,1.1,1.3,40.9
Lanus,Argentina Primera Division,267,268,1.0,1.1,40.9
Pumas Unam,Mexican Primera Division Torneo Apertura,268,294,1.3,1.6,40.7
Hibernian,Scottish Premiership,269,269,1.4,1.7,40.7
Atlético Goianiense,Brasileiro Série A,270,270,1.1,1.3,40.6
Gimnasia La Plata,Argentina Primera Division,271,271,1.1,1.3,40.6
Fortuna Düsseldorf,German 2. Bundesliga,272,272,1.3,1.6,40.5
Goztepe,Turkish Turkcell Super Lig,273,273,1.1,1.4,40.3
Zlín,UEFA Europa League,274,274,1.1,1.3,40.3
FK Qarabag,UEFA Champions League,275,275,1.2,1.4,40.3
Aberdeen,Scottish Premiership,276,276,1.1,1.3,40.2
AC Ajaccio,French Ligue 2,277,277,1.2,1.4,40.2
Granada,Spanish Segunda Division,278,278,1.2,1.4,40.0
Hull City,English League Championship,279,279,1.3,1.6,40.0
San Martin San Juan,Argentina Primera Division,280,280,1.1,1.3,40.0
Derby County,English League Championship,281,281,1.2,1.5,39.9
F.B.C Unione Venezia,Italy Serie B,282,282,1.1,1.3,39.9
Morelia,Mexican Primera Division Torneo Apertura,283,309,1.2,1.5,39.8
Gimnástic Tarragona,Spanish Segunda Division,284,283,1.0,1.2,39.8
Vítoria,Brasileiro Série A,285,251,1.2,1.5,39.8
Sarpsborg,Norwegian Tippeligaen,286,285,1.4,1.7,39.7
LASK Linz,Austrian T-Mobile Bundesliga,287,286,1.2,1.4,39.6
Almeria,Spanish Segunda Division,288,287,0.9,1.1,39.5
Rosario Central,Argentina Primera Division,289,288,1.2,1.4,39.5
Lorient,French Ligue 2,290,290,1.2,1.5,39.2
Guadalajara,Mexican Primera Division Torneo Apertura,291,284,1.1,1.4,39.2
Estoril Praia,Portuguese Liga,292,291,1.1,1.3,39.2
Yeni Malatyaspor,Turkish Turkcell Super Lig,293,292,1.0,1.3,39.1
Tondela,Portuguese Liga,294,293,1.2,1.5,39.1
Toronto FC,Major League Soccer,295,312,1.4,1.7,39.0
América Mineiro,Brasileiro Série A,296,307,1.1,1.4,38.9
MSV Duisburg,German 2. Bundesliga,297,295,1.3,1.6,38.9
Ponte Preta,Brasileiro Série A,298,296,1.1,1.3,38.9
FC Sheriff Tiraspol,UEFA Europa League,299,297,1.1,1.4,38.9
Cittadella,Italy Serie B,300,298,1.1,1.4,38.8
